frame,x,y
0,-17.66705322265625,-72.57601928710938
1,-53.49884033203125,-148.35943603515625
2,-62.01885986328125,-221.44009399414062
3,-69.2020263671875,-299.4400939941406
4,-77.842041015625,-368.65447998046875
5,-86.4820556640625,-437.77447509765625
6,-95.78204345703125,-493.01519775390625
7,-104.30206298828125,-545.8090515136719
8,-111.76702880859375,-595.172248840332
9,-25.367034912109375,-643.3722534179688
10,77.59295654296875,-678.7962493896484
11,85.79296875,-733.1562652587891
12,95.76962280273438,-790.4777374267578
13,103.50210571289062,-849.8375854492188
14,115.94371032714844,-900.3007354736328
15,-126.56803894042969,-912.3007354736328
16,-123.27647399902344,-960.6847381591797
17,-199.46885681152344,-1021.067985534668
18,-164.5688934326172,-1069.4519882202148
19,-164.5688934326172,-1127.2519912719727
20,-19.250961303710938,-1159.4619216918945
21,-17.930953979492188,-1219.3217849731445
22,-19.831710815429688,-1277.3825912475586
23,-19.831710815429688,-1337.3825759887695
24,-23.414962768554688,-1400.982566833496
25,-27.648605346679688,-1466.674217224121
26,-33.62059020996094,-1532.0742111206055
27,-39.38053894042969,-1598.7702255249023
28,-41.91038513183594,-1669.3014450073242
29,-41.91038513183594,-1739.803855895996
